date,open,high,low,close,volume,code,name
2021-09-13,19.42307692307692,19.523076923076918,19.007692307692306,19.35384615384615,9602633.0,002396,星网锐捷
2021-09-14,19.346153846153843,19.42307692307692,18.507692307692306,18.553846153846152,12038802.0,002396,星网锐捷
2021-09-15,18.499999999999996,18.769230769230766,18.18461538461538,18.48461538461538,9889138.0,002396,星网锐捷
2021-09-16,18.48461538461538,18.607692307692304,17.730769230769226,17.88461538461538,14267882.0,002396,星网锐捷
2021-09-17,17.89230769230769,18.32307692307692,17.44615384615384,17.95384615384615,8885312.0,002396,星网锐捷
2021-09-22,17.830769230769228,18.13076923076923,17.730769230769226,17.88461538461538,6670876.0,002396,星网锐捷
2021-09-23,17.969230769230766,18.75384615384615,17.92307692307692,18.43076923076923,13963568.0,002396,星网锐捷
2021-09-24,18.415384615384614,19.115384615384613,18.346153846153843,18.576923076923077,14470718.0,002396,星网锐捷
2021-09-27,18.884615384615383,18.9,18.09230769230769,18.299999999999997,9111530.0,002396,星网锐捷
2021-09-28,18.307692307692307,18.769230769230766,17.823076923076922,18.65384615384615,8363295.0,002396,星网锐捷
2021-09-29,18.48461538461538,18.538461538461537,17.75384615384615,17.792307692307688,8819828.0,002396,星网锐捷
2021-09-30,17.846153846153843,18.43846153846154,17.815384615384612,18.299999999999997,7025317.0,002396,星网锐捷
2021-10-08,18.47692307692307,18.776923076923072,18.107692307692304,18.169230769230765,8264347.0,002396,星网锐捷
2021-10-11,18.19230769230769,18.930769230769226,18.176923076923075,18.815384615384612,12189268.0,002396,星网锐捷
2021-10-12,18.799999999999997,18.999999999999996,18.546153846153842,18.838461538461537,12015742.0,002396,星网锐捷
2021-10-13,18.876923076923074,18.884615384615383,17.946153846153845,17.96153846153846,15251625.0,002396,星网锐捷
2021-10-14,17.946153846153845,17.96153846153846,17.461538461538456,17.48461538461538,12884749.0,002396,星网锐捷
2021-10-15,17.45384615384615,17.676923076923075,17.046153846153842,17.59230769230769,11634666.0,002396,星网锐捷
2021-10-18,17.469230769230766,17.830769230769228,17.32307692307692,17.638461538461534,9734528.0,002396,星网锐捷
2021-10-19,17.49230769230769,17.869230769230768,17.407692307692304,17.56153846153846,8302096.0,002396,星网锐捷
2021-10-20,17.62307692307692,17.707692307692305,16.86153846153846,16.876923076923074,15295660.0,002396,星网锐捷
2021-10-21,16.869230769230764,17.076923076923073,16.761538461538457,16.807692307692307,8126160.0,002396,星网锐捷
2021-10-22,16.799999999999997,16.876923076923074,16.407692307692304,16.46153846153846,10824317.0,002396,星网锐捷
2021-10-25,16.407692307692304,16.776923076923076,16.323076923076922,16.71538461538461,8254895.0,002396,星网锐捷
2021-10-26,16.646153846153844,17.176923076923075,16.638461538461534,16.86153846153846,8279390.0,002396,星网锐捷
2021-10-27,16.86153846153846,17.030769230769227,16.438461538461535,16.538461538461537,6272186.0,002396,星网锐捷
2021-10-28,16.869230769230764,17.084615384615383,15.976923076923073,16.107692307692304,13630998.0,002396,星网锐捷
2021-10-29,16.18461538461538,16.407692307692304,15.999999999999996,16.12307692307692,14846025.0,002396,星网锐捷
2021-11-01,16.115384615384613,16.92307692307692,16.007692307692306,16.66923076923077,17421496.0,002396,星网锐捷
2021-11-02,16.676923076923075,16.999999999999996,16.476923076923075,16.684615384615384,13214334.0,002396,星网锐捷
2021-11-03,16.684615384615384,17.32307692307692,16.62307692307692,16.799999999999997,15759058.0,002396,星网锐捷
2021-11-04,16.79230769230769,17.776923076923072,16.79230769230769,17.353846153846153,20169490.0,002396,星网锐捷
2021-11-05,17.438461538461535,17.776923076923072,17.284615384615382,17.553846153846152,15625754.0,002396,星网锐捷
2021-11-08,17.615384615384613,17.74615384615384,17.176923076923075,17.49230769230769,13073909.0,002396,星网锐捷
2021-11-09,17.476923076923075,17.792307692307688,17.330769230769228,17.74615384615384,10928327.0,002396,星网锐捷
2021-11-10,17.792307692307688,18.007692307692306,17.576923076923073,17.969230769230766,13267202.0,002396,星网锐捷
2021-11-11,18.0,18.446153846153845,17.807692307692307,18.0,18944761.0,002396,星网锐捷
2021-11-12,17.938461538461535,18.29230769230769,17.869230769230768,18.207692307692305,12149275.0,002396,星网锐捷
2021-11-15,18.338461538461534,18.46153846153846,18.030769230769227,18.18461538461538,9275058.0,002396,星网锐捷
2021-11-16,18.099999999999998,18.830769230769228,18.099999999999998,18.48461538461538,17143343.0,002396,星网锐捷
2021-11-17,18.35384615384615,18.576923076923077,18.069230769230767,18.47692307692307,11775393.0,002396,星网锐捷
2021-11-18,18.469230769230766,18.715384615384615,18.26153846153846,18.29230769230769,13147309.0,002396,星网锐捷
2021-11-19,18.307692307692307,18.75384615384615,18.238461538461536,18.569230769230767,14023427.0,002396,星网锐捷
2021-11-22,18.62307692307692,18.769230769230766,18.32307692307692,18.65384615384615,13995462.0,002396,星网锐捷
2021-11-23,18.576923076923077,19.084615384615383,18.569230769230767,18.807692307692303,13710300.0,002396,星网锐捷
2021-11-24,18.884615384615383,19.607692307692307,18.715384615384615,19.184615384615384,18483427.0,002396,星网锐捷
