股票,买入持有累计,signal优化累计,signal回撤,晨间DSA累计,晨间回撤,晨间夏普,晨间胜率,晨间交易
紫金矿业,-13.15,13.20%,-4.51%,6.58%,-8.53%,0.92,33.3%,3
工业富联,22.89,8.57%,-5.23%,-1.24%,-13.35%,0.04,20.0%,5
