股票,代码,基准_累计收益,基准_年化收益,基准_最大回撤,MA_累计收益,MA_年化收益,MA_最大回撤,MA_夏普比率,MA_交易次数,MA_胜率,MA_平均盈利,MA_平均亏损,DSA趋势_累计收益,DSA趋势_年化收益,DSA趋势_最大回撤,DSA趋势_夏普比率,DSA趋势_交易次数,DSA趋势_胜率,DSA趋势_平均盈利,DSA趋势_平均亏损,DSA止盈_累计收益,DSA止盈_年化收益,DSA止盈_最大回撤,DSA止盈_夏普比率,DSA止盈_交易次数,DSA止盈_胜率,DSA止盈_平均盈利,DSA止盈_平均亏损
工业富联,601138,480.30%,38.68%,-52.30%,293.62%,29.02%,-39.05%,0.86,75,34.7%,2702071.58%,-803202.56%,166.89%,20.03%,-22.62%,1.02,43,67.4%,927945.57%,-698800.63%,104.91%,14.27%,-25.97%,0.83,94,56.4%,390392.39%,-237544.75%
亨通光电,600487,309.90%,30.00%,-61.53%,78.86%,11.42%,-54.49%,0.49,74,45.9%,652653.09%,-338157.29%,54.71%,8.45%,-23.51%,0.54,46,69.6%,427917.62%,-556173.66%,15.66%,2.74%,-33.41%,0.24,97,60.8%,174184.64%,-220525.66%
紫光股份,000938,85.91%,12.22%,-60.03%,23.49%,4.00%,-47.48%,0.29,69,34.8%,883130.85%,-464406.30%,5.55%,1.01%,-42.79%,0.15,69,65.2%,317983.42%,-551078.82%,22.13%,3.79%,-33.26%,0.28,133,66.9%,175039.32%,-293499.85%
恒生电子,600570,-60.61%,-15.91%,-74.19%,-28.01%,-5.93%,-61.96%,-0.06,74,31.1%,420988.08%,-243757.17%,-35.59%,-7.86%,-43.38%,-0.39,64,54.7%,232654.41%,-393089.77%,-22.77%,-4.69%,-43.72%,-0.19,118,50.8%,168997.84%,-207705.60%
