股票,代码,策略_累计收益,策略_年化收益,策略_最大回撤,策略_夏普比率,策略_交易次数,策略_胜率,策略_平均盈利,策略_平均亏损,基准_累计收益,基准_年化收益,基准_最大回撤
工业富联,601138,293.62%,29.02%,-39.05%,0.86,75,34.7%,2702071.58%,-803202.56%,480.30%,38.68%,-52.30%
亨通光电,600487,78.86%,11.42%,-54.49%,0.49,74,45.9%,652653.09%,-338157.29%,309.90%,30.00%,-61.53%
紫光股份,000938,23.49%,4.00%,-47.48%,0.29,69,34.8%,883130.85%,-464406.30%,85.91%,12.22%,-60.03%
恒生电子,600570,-28.01%,-5.93%,-61.96%,-0.06,74,31.1%,420988.08%,-243757.17%,-60.61%,-15.91%,-74.19%
